coin,trading,isLegalMoney,trade_fee,trade_symbol,profit,gained,times_it_sold,coin_status,initial_buy_price,initial_buy_cost,updated_price,out_price,estimated_cost,rebought_at,rebuy_cost
REEF,True,False,"[{'symbol': 'REEFUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",REEFUSDT,-0.004381860000000001,0.0,0,initialized,0.0231,2.31e-05,0.01876,1.876e-05,0.02314186,,
BTG,True,False,"[{'symbol': 'BTGUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BTGUSDT,-12.040339999999993,0.0,0,initialized,66.13,0.06613,54.21,0.05421,66.25034,,
MIR,True,False,"[{'symbol': 'MIRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MIRUSDT,-0.6048239999999998,0.10484900000000064,7,rebought,3.715,0.003715,3.113,0.003113,3.717824,3.711,0.003711
KEY,True,False,"[{'symbol': 'KEYUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",KEYUSDT,-0.0010776579999999987,0.0,0,initialized,0.009359,9.359e-06,0.008299,8.299000000000001e-06,0.009376658,,
BTS,True,False,"[{'symbol': 'BTSUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BTSUSDT,-0.009173479999999998,0.0,0,initialized,0.05128,5.128e-05,0.0422,4.22e-05,0.05137348,,
BTT,True,False,"[{'symbol': 'BTTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",BTTUSDT,-0.0006332379999999995,0.0,0,initialized,0.003932,3.932e-06,0.003306,3.3059999999999998e-06,0.003939237999999999,,
ONE,True,False,"[{'symbol': 'ONEUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ONEUSDT,-0.040408780000000005,0.0,0,initialized,0.16445,0.00016445,0.12433,0.00012433,0.16473878,,
LINKDOWN,True,False,"[{'symbol': 'LINKDOWNUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",LINKDOWNUSDT,0.010157820000000005,0.0,1,sold,0.02598,2.598e-05,0.04148,4.148e-05,0.026042179999999998,,
ONG,True,False,"[{'symbol': 'ONGUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ONGUSDT,-0.22144789999999992,0.0,0,initialized,1.1836,0.0011836,0.9643,0.0009643000000000001,1.1857479,,
ANKR,True,False,"[{'symbol': 'ANKRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ANKRUSDT,-0.01735668,0.0,0,initialized,0.09693,9.693e-05,0.07975,7.975e-05,0.09710668,,
SUSHI,True,False,"[{'symbol': 'SUSHIUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SUSHIUSDT,-2.4046380000000003,0.0,0,initialized,12.51,0.01251,10.128,0.010128,12.532638,,
ALGO,True,False,"[{'symbol': 'ALGOUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ALGOUSDT,-0.5567979000000003,0.0,0,initialized,2.1255,0.0021255,1.5724,0.0015724,2.1291979000000003,,
SC,True,False,"[{'symbol': 'SCUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",SCUSDT,-0.00374411,0.0,0,initialized,0.01891,1.891e-05,0.0152,1.52e-05,0.01894411,,
ONT,True,False,"[{'symbol': 'ONTUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ONTUSDT,-0.1741355000000001,0.0,0,initialized,1.0039,0.0010039,0.8316,0.0008316,1.0057355000000001,,
ASR,True,False,"[{'symbol': 'ASRUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",ASRUSDT,-1.3193099999999998,0.11434499999999836,4,rebought,8.326,0.008326,7.003,0.0070030000000000005,8.32231,8.307,0.008307
FIRO,True,False,"[{'symbol': 'FIROUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",FIROUSDT,-1.422809,0.039509999999999934,2,rebought,7.609,0.007609,6.2,0.006200000000000001,7.622809,7.609,0.007609
MANA,True,False,"[{'symbol': 'MANAUSDT', 'makerCommission': '0.001', 'takerCommission': '0.001'}]",MANAUSDT,-0.137305,0.0,0,initialized,0.8204,0.0008204,0.6846,0.0006846,0.821905,,
