coin,initial_buy_price,initial_buy_cost,rebought_at,rebuy_cost,gained,total_initial_buy_cost,total_rebuy_cost
XVSUSDT,31.9,0.0319,31.87,0.03187,0.12444000000000344,31.9319,31.901870000000002
PERPUSDT,14.9,0.0149,14.89,0.01489,0.030329999999997526,14.914900000000001,14.90489
XVSUSDT,31.9,0.0319,31.89,0.03189,0.14062000000000197,31.9319,31.92189
ARUSDT,49.99,0.04999,49.95,0.04995,0.05998000000000303,50.03999,49.999950000000005
QNTUSDT,359.0,0.359,359.0,0.359,5.350300000000004,359.359,359.359
ARUSDT,49.99,0.04999,49.99,0.04999,0.08995000000000175,50.03999,50.03999
UMAUSDT,11.377,0.011377,11.376,0.011375999999999999,0.0759269999999983,11.388377,11.387376
MLNUSDT,121.7,0.1217,121.6,0.1216,1.5678999999999803,121.8217,121.7216
AXSUSDT,66.32,0.0663199999999999,66.32,0.06631999999999999,0.01721000000000572,66.38632,66.38632
SRMUSDT,10.443,0.010443,10.431,0.010431,0.042356000000001615,10.453443,10.441431
ARUSDT,49.99,0.04999,49.98,0.04998,0.10985000000000156,50.03999,50.029979999999995
SRMUSDT,10.443,0.010443,10.443,0.010443,0.05546000000000184,10.453443,10.453443
ARUSDT,49.99,0.04999,49.95,0.04995,0.1297700000000077,50.03999,49.999950000000005
ADAUPUSDT,166.624,0.166624,166.5,0.1665,0.46465599999999085,166.790624,166.6665
LPTUSDT,18.84,0.01884,18.77,0.01877,0.02225999999999928,18.85884,18.78877
DASHUSDT,200.5,0.2005,200.5,0.2005,0.09850000000000136,200.7005,200.7005
DOTUSDT,34.24,0.03424,34.22,0.03422,0.011440000000000339,34.27424,34.25422
SXPUSDT,2.636,0.002636,2.636,0.0026360000000000003,0.010711999999999833,2.638636,2.638636
DOTUPUSDT,11.766,0.011766,11.75,0.01175,0.04733799999999988,11.777766,11.76175
RAYUSDT,12.963,0.0129629999999999,12.96,0.012960000000000001,0.03812600000000188,12.975962999999998,12.97296
ORNUSDT,11.133,0.0111329999999999,11.124,0.011124,0.047114000000000544,11.144132999999998,11.135124000000001
JUVUSDT,12.71,0.01271,12.71,0.01271,0.06364000000000125,12.722710000000001,12.722710000000001
OGUSDT,10.126,0.010126,10.115,0.010115,0.011715999999999838,10.136125999999999,10.125115000000001
WNXMUSDT,73.0,0.073,73.0,0.073,0.5420199999999937,73.073,73.073
XMRUSDT,273.8,0.2738,273.7,0.2737,0.203899999999976,274.0738,273.9737
FTMUSDT,1.3272,0.0013272,1.3257,0.0013257000000000002,0.011031900000000094,1.3285272,1.3270257
DOTUPUSDT,11.766,0.011766,11.75,0.01175,0.08078099999999999,11.777766,11.76175
GNOUSDT,277.7,0.2777,277.7,0.2777,0.04400000000003956,277.97769999999997,277.97769999999997
BTCUSDT,48176.69,48.17669,48176.6,48.1766,18.491219999996247,48224.86669,48224.7766
SOLUSDT,161.66,0.16166,161.58,0.16158000000000003,0.07627999999999702,161.82166,161.74158
BTCUPUSDT,88.5,0.0885,88.495,0.088495,0.049773000000001844,88.5885,88.583495
BALUSDT,25.68,0.02568,25.67,0.025670000000000002,0.02856000000000236,25.70568,25.695670000000003
ASRUSDT,8.326,0.008326,8.298,0.008298,0.0243070000000003,8.334326,8.306298
MIRUSDT,3.715,0.003715,3.714,0.003714,0.011551000000000311,3.718715,3.717714
MKRUSDT,2869.0,2.869,2869.0,2.869,1.2550000000001091,2871.869,2871.869
AAVEUSDT,355.1,0.3551,355.1,0.3551,0.08899999999994179,355.4551,355.4551
ALICEUSDT,13.08,0.01308,13.08,0.01308,0.013799999999999812,13.09308,13.09308
XRPUPUSDT,5.6109,0.0056109,5.6071,0.0056071,0.011555399999999771,5.6165109,5.6127071
ICPUSDT,58.24,0.05824,58.22,0.05822,0.013389999999994018,58.29824,58.27822
AAVEUPUSDT,1.2925,0.0012925,1.289,0.001289,0.010501900000000175,1.2937925,1.290289
ICPUSDT,58.24,0.05824,58.23,0.05823,0.026819999999993627,58.29824,58.28823
ALICEUSDT,13.08,0.01308,13.08,0.01308,0.027599999999999625,13.09308,13.09308
RAYUSDT,12.963,0.0129629999999999,12.957,0.012957000000000002,0.051167000000001295,12.975962999999998,12.969957
BNBUSDT,411.3,0.4113,411.3,0.4113,0.07649999999995316,411.7113,411.7113
JUVUSDT,12.71,0.01271,12.71,0.01271,0.0781799999999997,12.722710000000001,12.722710000000001
OGNUSDT,1.0604,0.0010604,1.0571,0.0010571,0.011365700000000034,1.0614604,1.0581570999999999
ICPUSDT,58.24,0.05824,58.22,0.05822,0.04022999999999399,58.29824,58.27822
XMRUSDT,273.8,0.2738,273.7,0.2737,0.5556000000000267,274.0738,273.9737
SOLUSDT,161.66,0.16166,161.59,0.16159,0.14272999999997182,161.82166,161.75159
XTZUSDT,6.421,0.006421,6.415,0.0064150000000000006,0.023266999999999705,6.427421,6.421415
BNBUSDT,411.3,0.4113,411.3,0.4113,0.25289999999995416,411.7113,411.7113
RAYUSDT,12.963,0.0129629999999999,12.962,0.012962,0.06421400000000155,12.975962999999998,12.974962
LINKUPUSDT,2.1536,0.0021536,2.1513,0.0021513,0.03604180000000046,2.1557536,2.1534513
DEXEUSDT,13.58,0.01358,13.58,0.01358,0.04277000000000086,13.59358,13.59358
XTZUSDT,6.421,0.006421,6.421,0.0064210000000000005,0.04040700000000008,6.427421,6.427421
UMAUSDT,11.377,0.011377,11.287,0.011287000000000002,0.1300979999999985,11.388377,11.298287
UMAUSDT,11.377,0.011377,11.339,0.011339,0.1594719999999974,11.388377,11.350339
LPTUSDT,18.84,0.01884,18.83,0.01883,0.04465999999999681,18.85884,18.84883
ZECUSDT,140.5,0.1405,140.5,0.1405,0.01870000000002392,140.6405,140.6405
ICPUSDT,58.24,0.05824,58.24,0.05824,0.0536599999999936,58.29824,58.29824
WNXMUSDT,73.0,0.073,73.0,0.073,0.725689999999986,73.073,73.073
ALICEUSDT,13.08,0.01308,13.08,0.01308,0.04139999999999944,13.09308,13.09308
SFPUSDT,1.1903,0.0011903,1.1903,0.0011903,0.010406600000000044,1.1914903,1.1914903
ASRUSDT,8.326,0.008326,8.313,0.008313000000000001,0.05865999999999971,8.334326,8.321313
RAYUSDT,12.963,0.0129629999999999,12.959,0.012959,0.07525300000000179,12.975962999999998,12.971959
LPTUSDT,18.84,0.01884,18.83,0.01883,0.05694999999999695,18.85884,18.84883
ICXUSDT,1.898,0.001898,1.898,0.001898,0.010189999999999921,1.8998979999999999,1.8998979999999999
ORNUSDT,11.133,0.0111329999999999,11.123,0.011123,0.05783300000000047,11.144132999999998,11.134122999999999
JUVUSDT,12.71,0.01271,12.7,0.0127,0.09271999999999814,12.722710000000001,12.7127
WRXUSDT,1.262,0.001262,1.262,0.001262,0.012460999999999833,1.263262,1.263262
JUVUSDT,12.71,0.01271,12.71,0.01271,0.10727999999999938,12.722710000000001,12.722710000000001
XMRUSDT,273.8,0.2738,273.6,0.2736,0.6076000000000477,274.0738,273.8736
BNBUSDT,411.3,0.4113,411.3,0.4113,0.3293999999999073,411.7113,411.7113
LINKUSDT,28.46,0.02846,28.46,0.028460000000000003,0.062110000000004106,28.48846,28.48846
LINKUPUSDT,2.1536,0.0021536,2.1504,0.0021504,0.047223700000000424,2.1557536,2.1525504
FARMUSDT,206.6,0.2066,205.9,0.2059,1.519399999999962,206.8066,206.10590000000002
BONDUSDT,25.61,0.02561,25.49,0.02549,0.14742999999999995,25.63561,25.51549
XRPUPUSDT,5.6109,0.0056109,5.6021,0.0056021000000000005,0.023218299999999914,5.6165109,5.6077021
BNBUPUSDT,361.13,0.36113,360.97,0.36097,0.04696999999998752,361.49113,361.33097000000004
RAYUSDT,12.963,0.0129629999999999,12.959,0.012959,0.09728700000000146,12.975962999999998,12.971959
ALPACAUSDT,1.1191,0.0011191,1.1191,0.0011191,0.01134820000000003,1.1202191,1.1202191
SNXUSDT,12.557,0.012557,12.554,0.012554000000000001,0.07424399999999665,12.569557,12.566554
SOLUSDT,161.66,0.16166,161.64,0.16163999999999998,0.2291399999999726,161.82166,161.80164
